CustomerID,Recency,Frequency,GrossSpend,ReturnAmount,Monetary,ReturnRate,Cluster,Segment,silhouette,Emoji,Tagline,Action
12347,1,7,4310.0,0.0,4310.0,0.0,0,Champions,0.5477006716922335,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12348,74,4,1797.24,0.0,1797.24,0.0,0,Champions,0.1461610876989638,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12349,18,1,1757.55,0.0,1757.55,0.0,1,Regulars,0.3609706413865014,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12350,309,1,334.4,0.0,334.4,0.0,2,Hibernating,0.591190218795592,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12352,35,8,2506.04,-960.63,1545.41,0.3833,3,High-Return Risk,0.3979668450697422,⚠️,Active but return a significant portion of purchases,"Investigate return reasons, improve product descriptions/photos, review sizing guides."
12353,203,1,89.0,0.0,89.0,0.0,2,Hibernating,0.3742763894658779,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12354,231,1,1079.4,0.0,1079.4,0.0,2,Hibernating,0.311156823064543,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12355,213,1,459.4,0.0,459.4,0.0,2,Hibernating,0.3953412427221018,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12356,22,3,2811.43,0.0,2811.43,0.0,0,Champions,0.15944361874747262,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12357,32,1,6207.67,0.0,6207.67,0.0,1,Regulars,0.0578701888521883,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12358,1,2,1168.06,0.0,1168.06,0.0,1,Regulars,0.36429909870467614,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12359,57,4,6310.03,-127.05,6182.98,0.0201,0,Champions,0.3751238889309107,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12360,51,3,2662.06,0.0,2662.06,0.0,0,Champions,0.11867484250012326,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12361,286,1,189.9,0.0,189.9,0.0,2,Hibernating,0.5960210076987085,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12362,2,10,5226.23,-71.65,5154.58,0.0137,0,Champions,0.5802185316049197,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12363,109,2,552.0,0.0,552.0,0.0,1,Regulars,0.42895582635166174,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12364,7,4,1313.1,0.0,1313.1,0.0,0,Champions,0.0870058797875998,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12365,290,2,641.38,-320.69,320.69,0.5,3,High-Return Risk,0.45853978035296483,⚠️,Active but return a significant portion of purchases,"Investigate return reasons, improve product descriptions/photos, review sizing guides."
12367,3,1,168.9,0.0,168.9,0.0,1,Regulars,0.5087727106021634,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12370,50,4,3541.94,0.0,3541.94,0.0,0,Champions,0.34517172134034396,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12371,44,2,1887.96,0.0,1887.96,0.0,1,Regulars,0.23755308525553304,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12372,71,3,1298.04,0.0,1298.04,0.0,1,Regulars,0.21897710311578045,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12373,310,1,364.6,0.0,364.6,0.0,2,Hibernating,0.5855398440857511,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12374,24,1,742.9300000000001,0.0,742.9300000000001,0.0,1,Regulars,0.5583689904751681,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12375,10,2,457.5,-2.08,455.42,0.0045,1,Regulars,0.5792069842785247,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12377,314,2,1628.12,0.0,1628.12,0.0,2,Hibernating,0.3669993926708,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
12378,129,1,4008.62,0.0,4008.62,0.0,1,Regulars,0.17424093650965605,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12379,81,2,852.24,-1.95,850.29,0.0023,1,Regulars,0.506503355518942,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12380,21,4,2724.81,-4.25,2720.56,0.0016,0,Champions,0.32848760147826594,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12381,4,5,1845.31,-41.35,1803.96,0.0224,0,Champions,0.3621363563021719,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12383,184,5,1850.56,-11.25,1839.31,0.0061,0,Champions,0.0948819199750959,🏆,"Recent, frequent, high-value buyers","Reward with loyalty perks, early access, VIP offers. Protect at all costs."
12384,28,2,585.27,-19.11,566.16,0.0327,1,Regulars,0.5456888444365526,🛍️,Consistent buyers with growth potential,"Upsell with bundles, cross-sell adjacent categories, increase order frequency."
12386,337,2,401.9,0.0,401.9,0.0,2,Hibernating,0.5381313625168322,😴,Lapsed customers — haven't bought in a long time,"Win-back campaigns, time-limited discounts, ""We miss you"" email sequence."
